"","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도"
"10934","경상북도","영천","시도","","호국로",1,"경상북도 문경시 호계면 상무로 363","경상북도 문경시 호계면 호계리 39",36.64566008
"10935","경상북도","문경","일반국도","34호","상무로",1,"","경상북도 의성군 다인면 삼분리 1822-2",36.41808674
"10936","경상북도","의성","일반국도","28호","서부로",1,"경상북도 의성군 다인면 서릉2길 27","경상북도 의성군 다인면 도암리 283",36.45317309
"10937","경상북도","의성","일반국도","28호","서부로",2,"경상북도 영주시 의상로 126","경상북도 영주시 상망동 380-60",36.8476118
"10938","경상북도","영주","일반국도","36호","의상로",1,"경상북도 영주시 조와로 4-2","경상북도 영주시 고현동 222-7",36.84310934
"10939","경상북도","영주","일반국도","36호","조와로",2,"경상북도 포항시 남구 동해안로 6363","경상북도 포항시 남구 송내동 506",36.00569353
"10940","경상북도","포항남부","일반국도","31호","동해안로",1,"경상북도 청도군 각남면 예리4길 30-9","경상북도 청도군 각남면 예리리 576",35.64088086
"10941","경상북도","청도","일반국도","20호","청려로",2,"경상북도 청도군 금천면 임당길 6","경상북도 청도군 금천면 방지리 703-1",35.71213183
"10942","경상북도","청도","일반국도","20호","청려로",1,"경상북도 영천시 화남면 천문로 1723","경상북도 영천시 화남면 삼창리 15-2",36.06823275
"10943","경상북도","영천","일반국도","35호","천문로",1,"경상북도 영주시 풍기읍 소백로 1901","경상북도 영주시 풍기읍 동부리 194",36.86718472
"10944","경상북도","영주","기타","","소백로",2,"경상북도 영주시 신재로 3","경상북도 영주시 가흥동 479-1",36.8306366
"10945","경상북도","영주","시도","","신재로",1,"경상북도 영주시 대동로 52","경상북도 영주시 가흥동 1821",36.81471751
"10946","경상북도","영주","시도","","대동로",2,"경상북도 군위군 의흥면 동부로 1050","경상북도 군위군 의흥면 읍내리 251",36.17274278
"10947","경상북도","군위","일반국도","28호","동부로",1,"경상북도 성주군 용암면 운용로 986","경상북도 성주군 용암면 용정리 224-1",35.83213376
"10948","경상북도","성주","일반국도","67호","운용로",1,"경상북도 청송군 진보면 경동로 4922","경상북도 청송군 진보면 고현리 136-5",36.52403607
"10949","경상북도","청송","일반국도","34호","영일만대로",2,"경상북도 울진군 죽변면 봉황길 93-25","경상북도 울진군 죽변면 봉평리 555-1",37.04848576
"10950","경상북도","울진","일반국도","7호","영일만대로",2,"경상북도 칠곡군 약목면 복성11길 2","경상북도 칠곡군 약목면 복성리 160",36.03688763
"10951","경상북도","칠곡","시도","","블루밸리로",2,"경상북도 영천시 송죽길 8","경상북도 영천시 도동 683-1",35.93986081
"10952","경상북도","영천","시도","","블루밸리로",1,"경상북도 예천군 지보면 지풍로 7","경상북도 예천군 지보면 마전리 949-17",36.53053248
"10953","경상북도","예천","시도","","블루밸리로",2,"경상북도 의성군 다인면 서부로 2200","경상북도 의성군 다인면 삼분리 1614-8",36.41452171
"10954","경상북도","의성","시도","","블루밸리로",2,"경상북도 영덕군 영덕읍 동해대로 4874","경상북도 영덕군 영덕읍 남산리 298-26",36.38970565
"10955","경상북도","영덕","시도","","행복로",1,"경상북도 구미시 흥안로 3","경상북도 구미시 옥계동 559-3",36.14699128
"10956","전라북도","익산시","시도","없음","인북로",3,"","전라북도 익산시 남중동 266-2",35.9467111
"10957","경상북도","칠곡","일반국도","5호","경북대로",2,"경상북도 경주시 건천읍 단석로 1715","경상북도 경주시 건천읍 송선리 161-5",35.83288514
"10958","경상북도","경주","일반국도","20호","단석로",1,"경상북도 경주시 건천읍 단석로 1715","경상북도 경주시 건천읍 송선리 161-5",35.83288514
"10959","경상북도","경주","일반국도","20호","단석로",2,"경상북도 문경시 가은읍 도리실길 2-8","경상북도 문경시 가은읍 하괴리 29-1",36.65665405
"10960","경상북도","문경","기타","","대야로",1,"경상북도 청송군 안덕면 성덕댐로 1741","경상북도 청송군 안덕면 명당리 315-2",36.28482352
"10961","경상북도","청송","기타","","청송로",2,"경상북도 문경시 영순면 삼강로 1313","경상북도 문경시 영순면 달지리 543-4",36.57078771
"10962","경상북도","문경","일반국도","59호","삼강로",1,"경상북도 문경시 영순면 삼강로 1313","경상북도 문경시 영순면 달지리 543-4",36.57078771
"10963","경상북도","문경","일반국도","59호","삼강로",2,"경상북도 예천군 유천면 경서로 2009","경상북도 예천군 유천면 매산리 380-3",36.62302753
